"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;529;282;0,533081285444234;5,27304055436003;0,67090208761183
10;1408;246;0,174715909090909;10,7994292448768;0,82461352977767
15;1910;201;0,105235602094241;13,7527723412341;0,87475868225171
20;2781;160;0,0575332614167566;19,1004683103156;0,95725104732053
25;3292;127;0,0385783718104496;34,0366414943343;1,1081777308906
30;4155;63;0,0151624548736462;61,960122647722;1,2473453623265
35;4684;18;0,00384286934244236;86,6568810472467;1,2332867997439
40;5559;7;0,00125921928404389;109,269366868865;0,95297368517601
45;6103;2;0,000327707684745207;121,680941825867;0,84406451635755
50;6910;2;0,000289435600578871;142,077125830802;0,570400189789
